instance_id,arm,z_star,stored_radius,gac_radius,gac_exact,equal,z_gac_valid_at_g0,backdoor_recheck,sanity_status
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000002_xC05_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000002_xC05_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000003_xC03_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000003_xC03_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000004_xC04_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",3,3,True,True,True,3,match
u2_c06_seed00000004_xC04_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",3,3,True,True,True,3,match
u2_c06_seed00000004_xC04_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",4,4,True,True,True,4,match
u2_c06_seed00000005_xC02_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000005_xC02_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",2,2,True,True,True,2,match
u2_c06_seed00000006_xC03_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000006_xC03_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000006_xC03_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",2,2,True,True,True,2,match
u2_c06_seed00000007_xC05_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000007_xC05_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000007_xC05_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",2,2,True,True,True,2,match
u2_c06_seed00000008_xC03_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000008_xC03_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000009_xC01_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000010_xC05_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000010_xC05_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000010_xC05_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",2,2,True,True,True,2,match
u2_c06_seed00000011_xC03_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000011_xC03_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000011_xC03_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000012_xC04_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000012_xC04_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000013_xC04_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000013_xC04_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",3,3,True,True,True,3,match
u2_c06_seed00000013_xC04_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",4,4,True,True,True,4,match
u2_c06_seed00000014_xC01_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000015_xC04_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000015_xC04_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000016_xC01_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000017_xC05_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000017_xC05_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000017_xC05_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",2,2,True,True,True,2,match
u2_c06_seed00000018_xC03_tiered_nt2,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000018_xC03_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000018_xC03_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",2,2,True,True,True,2,match
u2_c06_seed00000019_xC04_tiered_nt3,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000019_xC04_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
u2_c06_seed00000020_xC01_tiered_nt4,tiered_unconfounded,"[""C00"", ""W""]",1,1,True,True,True,1,match
