n,cpdag,n_undirected,space_size,g0,x,y,z,r_bfs,r_fast,agree,bfs_seconds,fast_seconds,fast_elements_visited,fast_closures,fast_validity_checks
3,V0-V1,1,3,V0-V1,V0,V2,,-1,-1,True,1.887500000000153e-05,1.2708999999999637e-05,1,0,1
3,V0-V1,1,3,V0-V1,V1,V2,,-1,-1,True,1.8084000000001543e-05,1.1499999999997623e-05,1,0,1
3,V0-V1,1,3,V0-V1,V2,V0,,-1,-1,True,1.737500000000003e-05,1.0333000000001258e-05,1,0,1
3,V0-V1,1,3,V0-V1,V2,V1,,-1,-1,True,1.787500000000053e-05,1.0332999999994319e-05,1,0,1
3,V0-V1,1,3,V0->V1,V0,V1,,1,1,True,1.3791999999998583e-05,3.750000000000281e-05,1,1,2
3,V0-V1,1,3,V0->V1,V0,V2,,-1,-1,True,1.841699999999974e-05,3.7083000000000255e-05,2,1,2
3,V0-V1,1,3,V0->V1,V1,V2,,-1,-1,True,1.8207999999998725e-05,3.7374999999999214e-05,2,1,2
3,V0-V1,1,3,V0->V1,V2,V0,,-1,-1,True,1.783299999999488e-05,3.61250000000049e-05,2,1,2
3,V0-V1,1,3,V0->V1,V2,V1,,-1,-1,True,1.762500000000028e-05,3.5832999999999005e-05,2,1,2
3,V0-V1,1,3,V1->V0,V0,V2,,-1,-1,True,1.816699999999949e-05,3.650000000000181e-05,2,1,2
3,V0-V1,1,3,V1->V0,V1,V0,,1,1,True,9.709000000003576e-06,3.070799999999735e-05,1,1,2
3,V0-V1,1,3,V1->V0,V1,V2,,-1,-1,True,1.7749999999996935e-05,3.479199999999877e-05,2,1,2
3,V0-V1,1,3,V1->V0,V2,V0,,-1,-1,True,1.7415999999999265e-05,3.495900000000107e-05,2,1,2
3,V0-V1,1,3,V1->V0,V2,V1,,-1,-1,True,1.7250000000003374e-05,3.399999999999931e-05,2,1,2
3,V0-V1 V0-V2,2,6,V0->V1 V0-V2,V0,V1,,1,1,True,2.5334000000001855e-05,6.429100000000104e-05,1,1,2
3,V0-V1 V0-V2,2,6,V0->V2 V0-V1,V0,V2,,1,1,True,1.9499999999998685e-05,5.8708000000004534e-05,1,1,2
3,V0-V1 V0-V2,2,6,V0->V1 V0->V2,V0,V1,,1,1,True,3.8083000000001255e-05,9.645800000000065e-05,1,2,3
