network,x,y,coverage,flip_rate,rep,status,n_k,k_g0,n_wrong_claims,separation,separation_status,component_size,z_size,g0_undirected,r_hop,hop_method,r_claim,r_claim_status,r_id,r_id_status,phi_1,subsets_closed,z_valid_at_truth,bucket_B0_always,bucket_B1_component,bucket_B2_free_rule,bucket_B3_min_s_kg0,bucket_B4_kg0,bucket_B5_k,bucket_B6_hop,bucket_B7_claim,cert_B0_always,cert_B1_component,cert_B2_free_rule,cert_B3_min_s_kg0,cert_B4_kg0,cert_B5_k,cert_B6_hop,cert_B7_claim
Acid_1996,x4,x10,1.0,0.0,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.1,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.1,1,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.1,2,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.1,3,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.1,4,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.25,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.25,1,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.25,2,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.25,3,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.25,4,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.5,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.5,1,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.5,2,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.5,3,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x10,1.0,0.5,4,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.0,0,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.1,0,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.1,1,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.1,2,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.1,3,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.1,4,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.25,0,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.25,1,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.25,2,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.25,3,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.25,4,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.5,0,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.5,1,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.5,2,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.5,3,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x11,1.0,0.5,4,ok,1,1,0,,no_z_member_in_component,2,1,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.0,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.1,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.1,1,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.1,2,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.1,3,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.1,4,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.25,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.25,1,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.25,2,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.25,3,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.25,4,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.5,0,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.5,1,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
Acid_1996,x4,x12,1.0,0.5,2,ok,1,1,0,,no_z_member_in_component,2,2,0,1,local_up_fast,1,exact,1,exact,1.0,1,1,held,held,held,held,held,held,held,held,inf,2,1,1,1,1,1,1
