network,x,y,hop_radius,n_asserted,k_g0,single_retractions_breaking_validity,single_retractions_inconsistent,claim_radius_is_one,phi_1
mediator,I,Y,1,3,5,1,0,1,0.3333333333333333
mediator,X,I,1,3,5,2,0,1,0.6666666666666666
mediator,X,Y,1,3,5,2,0,1,0.6666666666666666
Didelez_2010,Occ,HRT,1,1,3,1,0,1,1.0
Didelez_2010,Occ,S,1,1,3,1,0,1,1.0
Didelez_2010,Occ,TCI,1,1,3,1,0,1,1.0
Didelez_2010,Smo,HRT,2,1,3,1,0,1,1.0
Didelez_2010,Smo,S,2,1,3,1,0,1,1.0
Didelez_2010,Smo,TCI,2,1,3,1,0,1,1.0
Didelez_2010,Thist,S,2,1,3,1,0,1,1.0
Didelez_2010,Thist,TCI,2,1,3,1,0,1,1.0
Schipf_2010,PA,T2DM,1,3,6,2,0,1,0.6666666666666666
Schipf_2010,PA,TT,1,3,6,2,0,1,0.6666666666666666
Schipf_2010,PA,U,1,3,6,2,0,1,0.6666666666666666
Schipf_2010,PA,WC,1,3,6,2,0,1,0.6666666666666666
Schipf_2010,S,T2DM,1,3,6,1,0,1,0.3333333333333333
Schipf_2010,S,TT,1,3,6,1,0,1,0.3333333333333333
Schipf_2010,U,T2DM,2,3,6,1,0,1,0.3333333333333333
Schipf_2010,U,TT,2,3,6,1,0,1,0.3333333333333333
Schipf_2010,WC,T2DM,1,3,6,2,0,1,0.6666666666666666
Schipf_2010,WC,TT,2,3,6,2,0,1,0.6666666666666666
Schipf_2010,WC,U,2,3,6,2,0,1,0.6666666666666666
asia,bronc,dysp,1,3,3,1,0,1,0.3333333333333333
asia,lung,dysp,1,3,3,1,0,1,0.3333333333333333
sachs,Mek,Akt,2,8,17,2,0,1,0.25
sachs,Mek,Erk,2,8,17,2,0,1,0.25
sachs,PIP3,PIP2,1,8,17,2,0,1,0.25
sachs,PKA,Akt,1,8,17,3,0,1,0.375
sachs,PKA,Erk,1,8,17,3,0,1,0.375
sachs,PKA,Jnk,1,8,17,2,0,1,0.25
sachs,PKA,Mek,1,8,17,3,0,1,0.375
sachs,PKA,P38,1,8,17,2,0,1,0.25
sachs,PKA,Raf,1,8,17,3,0,1,0.375
sachs,Raf,Akt,1,8,17,3,0,1,0.375
sachs,Raf,Erk,1,8,17,3,0,1,0.375
sachs,Raf,Mek,1,8,17,3,0,1,0.375
Kampen_2014,AFF,ALN,2,3,11,2,0,1,0.6666666666666666
Kampen_2014,AFF,APA,2,3,11,2,0,1,0.6666666666666666
Kampen_2014,AFF,CDR,2,3,11,2,0,1,0.6666666666666666
Kampen_2014,AFF,DET,1,3,11,2,0,1,0.6666666666666666
Kampen_2014,AFF,EGC,1,3,11,2,0,1,0.6666666666666666
Kampen_2014,AFF,FTW,1,3,11,2,0,1,0.6666666666666666
Kampen_2014,AFF,HOS,1,3,11,2,0,1,0.6666666666666666
