network,x,y,coverage,radius,separation,separation_status,k_g0,method,free_rule,diff
mediator,I,Y,1.0,1,1,measured,5,local_up_fast,1,0
mediator,X,I,1.0,1,1,measured,5,local_up_fast,1,0
mediator,X,Y,1.0,1,1,measured,5,local_up_fast,1,0
mediator,I,Y,0.5,1,1,measured,4,local_up_fast,1,0
Didelez_2010,Occ,HRT,1.0,1,1,measured,3,local_up_fast,1,0
Didelez_2010,Occ,S,1.0,1,1,measured,3,local_up_fast,1,0
Didelez_2010,Occ,TCI,1.0,1,1,measured,3,local_up_fast,1,0
Didelez_2010,Smo,HRT,1.0,2,2,measured,3,local_up_fast,2,0
Didelez_2010,Smo,S,1.0,2,2,measured,3,local_up_fast,2,0
Didelez_2010,Smo,TCI,1.0,2,2,measured,3,local_up_fast,2,0
Didelez_2010,Thist,S,1.0,2,2,measured,3,local_up_fast,2,0
Didelez_2010,Thist,TCI,1.0,2,2,measured,3,local_up_fast,2,0
Schipf_2010,PA,T2DM,1.0,1,1,measured,6,local_up_fast,1,0
Schipf_2010,PA,TT,1.0,1,1,measured,6,local_up_fast,1,0
Schipf_2010,PA,U,1.0,1,1,measured,6,local_up_fast,1,0
Schipf_2010,PA,WC,1.0,1,1,measured,6,local_up_fast,1,0
Schipf_2010,S,T2DM,1.0,1,2,measured,6,local_up_fast,2,1
Schipf_2010,S,TT,1.0,1,1,measured,6,local_up_fast,1,0
Schipf_2010,U,T2DM,1.0,2,1,measured,6,local_up_fast,1,-1
Schipf_2010,U,TT,1.0,2,1,measured,6,local_up_fast,1,-1
Schipf_2010,WC,T2DM,1.0,1,1,measured,6,local_up_fast,1,0
Schipf_2010,WC,TT,1.0,2,1,measured,6,local_up_fast,1,-1
Schipf_2010,WC,U,1.0,2,1,measured,6,local_up_fast,1,-1
Schipf_2010,S,T2DM,0.5,1,2,measured,2,local_up_fast,2,1
Schipf_2010,S,TT,0.5,1,1,measured,2,local_up_fast,1,0
asia,bronc,dysp,1.0,1,,no_z_member_in_component,3,local_up_fast,1,0
asia,lung,dysp,1.0,1,2,measured,3,local_up_fast,2,1
asia,bronc,dysp,0.5,1,,no_z_member_in_component,2,local_up_fast,1,0
sachs,Mek,Akt,1.0,2,1,measured,17,local_up_fast,1,-1
sachs,Mek,Erk,1.0,2,1,measured,17,local_up_fast,1,-1
sachs,PIP3,PIP2,1.0,1,1,measured,17,local_up_fast,1,0
sachs,PKA,Akt,1.0,1,1,measured,17,local_up_fast,1,0
sachs,PKA,Erk,1.0,1,1,measured,17,local_up_fast,1,0
sachs,PKA,Jnk,1.0,1,1,measured,17,local_up_fast,1,0
sachs,PKA,Mek,1.0,1,1,measured,17,local_up_fast,1,0
sachs,PKA,P38,1.0,1,1,measured,17,local_up_fast,1,0
sachs,PKA,Raf,1.0,1,1,measured,17,local_up_fast,1,0
sachs,Raf,Akt,1.0,1,1,measured,17,local_up_fast,1,0
sachs,Raf,Erk,1.0,1,1,measured,17,local_up_fast,1,0
sachs,Raf,Mek,1.0,1,1,measured,17,local_up_fast,1,0
sachs,PIP3,PIP2,0.5,1,1,measured,9,local_up_fast,1,0
Kampen_2014,AFF,ALN,1.0,2,1,measured,11,local_up_fast,1,-1
Kampen_2014,AFF,APA,1.0,2,1,measured,11,local_up_fast,1,-1
Kampen_2014,AFF,CDR,1.0,2,1,measured,11,local_up_fast,1,-1
Kampen_2014,AFF,DET,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AFF,EGC,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AFF,FTW,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AFF,HOS,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AFF,PER,1.0,2,1,measured,11,local_up_fast,1,-1
Kampen_2014,AFF,SUS,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,AFF,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,ALN,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,APA,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,CDR,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,DET,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,EGC,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,FTW,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,HOS,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,PER,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,AIS,SUS,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,ALN,APA,1.0,1,1,measured,11,local_up_fast,1,0
Kampen_2014,ALN,DET,1.0,2,2,measured,11,local_up_fast,2,0
Kampen_2014,ALN,EGC,1.0,2,2,measured,11,local_up_fast,2,0
Kampen_2014,ALN,FTW,1.0,2,2,measured,11,local_up_fast,2,0
Kampen_2014,ALN,HOS,1.0,2,2,measured,11,local_up_fast,2,0
Kampen_2014,ALN,SUS,1.0,2,2,measured,11,local_up_fast,2,0
Kampen_2014,CDR,DET,1.0,2,2,measured,11,local_up_fast,2,0
Kampen_2014,PER,DET,1.0,4,1,measured,11,e1_ladder,1,-3
Kampen_2014,ALN,APA,0.5,1,1,measured,9,local_up_fast,1,0
Kampen_2014,ALN,DET,0.5,2,2,measured,9,local_up_fast,2,0
Kampen_2014,ALN,EGC,0.5,2,2,measured,9,local_up_fast,2,0
Kampen_2014,ALN,FTW,0.5,2,2,measured,9,local_up_fast,2,0
Kampen_2014,ALN,HOS,0.5,2,2,measured,9,local_up_fast,2,0
Kampen_2014,ALN,SUS,0.5,2,2,measured,9,local_up_fast,2,0
Kampen_2014,CDR,DET,0.5,2,2,measured,9,local_up_fast,2,0
Kampen_2014,PER,DET,0.5,4,1,measured,9,e1_ladder,1,-3
Kampen_2014,ALN,DET,0.25,2,2,measured,8,local_up_fast,2,0
Kampen_2014,ALN,EGC,0.25,2,2,measured,8,local_up_fast,2,0
Kampen_2014,ALN,FTW,0.25,2,2,measured,8,local_up_fast,2,0
Kampen_2014,ALN,HOS,0.25,2,2,measured,8,local_up_fast,2,0
Kampen_2014,ALN,SUS,0.25,2,2,measured,8,local_up_fast,2,0
Kampen_2014,CDR,DET,0.25,2,2,measured,8,local_up_fast,2,0
Kampen_2014,PER,DET,0.25,4,1,measured,8,e1_ladder,1,-3
Shrier_2008,ConnectiveTissueDisorder,Injury,1.0,1,1,measured,3,local_up_fast,1,0
Shrier_2008,ConnectiveTissueDisorder,IntraGameProprioception,1.0,1,1,measured,3,local_up_fast,1,0
Shrier_2008,ConnectiveTissueDisorder,NeuromuscularFatigue,1.0,1,1,measured,3,local_up_fast,1,0
Shrier_2008,TeamMotivation,Injury,1.0,1,,no_z_member_in_component,3,local_up_fast,1,0
Shrier_2008,TeamMotivation,IntraGameProprioception,1.0,1,,no_z_member_in_component,3,local_up_fast,1,0
Shrier_2008,TeamMotivation,WarmUpExercises,1.0,1,,no_z_member_in_component,3,local_up_fast,1,0
Shrier_2008,TissueWeakness,Injury,1.0,2,,no_z_member_in_component,3,local_up_fast,1,-1
Shrier_2008,TeamMotivation,Injury,0.5,1,,no_z_member_in_component,1,local_up_fast,1,0
Shrier_2008,TeamMotivation,IntraGameProprioception,0.5,1,,no_z_member_in_component,1,local_up_fast,1,0
Shrier_2008,TeamMotivation,WarmUpExercises,0.5,1,,no_z_member_in_component,1,local_up_fast,1,0
Polzer_2012,Alcohol,Diabetes,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Hypertension,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Lipids,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Mortality,1.0,1,1,measured,9,local_up_fast,1,0
Polzer_2012,Alcohol,Obesity,1.0,1,1,measured,9,local_up_fast,1,0
