instance_id,generator,seed,true_dag,cpdag,corruption,corruption_rate,k_assumed_consistent,g0,treatment,outcome,space_size,n_covers,max_shell,r_val,r_opt,method,notes,z,k_true,k_assumed,desc_n_nodes,desc_n_edges,desc_n_compelled,desc_n_undirected,desc_n_components,desc_largest_component_nodes,desc_largest_component_edges,desc_knowledge_component_nodes,desc_knowledge_component_edges,desc_knowledge_component_density,desc_treatment_in_component,r_eps_0.02,r_eps_0.05,r_eps_0.1,r_eps_0.2,params_json,time_graph,time_gate,time_knowledge,time_g0_and_z,time_space,time_radius_val_opt,time_radius_eps
inst_000038,erdos_renyi,20260957,V0->V3 V1->V3 V2->V3 V5->V0 V5->V1 V5->V3,V0->V3 V1->V3 V2->V3 V5->V3 V0-V5 V1-V5,omit,0.4,True,V0->V3 V1->V3 V2->V3 V5->V0 V5->V3 V1-V5,V0,V3,6,6,3,1,1,bfs_exact,,V1|V2|V5,V5->V0|V5->V1,V5->V0,6,6,4,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.2}",5.6208000000002034e-05,0.0003057089999999943,2.283299999999988e-05,4.9959000000002196e-05,0.0006291660000000074,4.4709000000003885e-05,0.004823667000000004
inst_000094,erdos_renyi,20261013,V2->V0 V3->V1 V3->V5 V5->V0 V5->V1 V5->V2,V0-V2 V0-V5 V1-V3 V1-V5 V2-V5 V3-V5,flip,0.2,True,V2->V0 V3->V1 V5->V0 V5->V1 V5->V2 V5->V3,V2,V0,154,412,8,1,1,bfs_exact,,V5,V2->V0|V3->V1|V3->V5|V5->V0|V5->V2,V2->V0|V3->V1|V5->V0|V5->V2|V5->V3,6,6,0,6,1,5,6,5,6,0.6,True,1,1,1,1,"{""edge_prob"": 0.2}",4.945800000000222e-05,0.0005635420000000002,1.4708000000002164e-05,9.74580000000086e-05,0.07689374999999998,0.00019104199999997462,0.041213082999999984
inst_000127,erdos_renyi,20261046,V0->V5 V1->V5 V2->V5 V3->V1 V3->V5 V4->V3 V4->V5,V0->V5 V1->V5 V2->V5 V3->V5 V4->V5 V1-V3 V3-V4,flip,0.4,True,V0->V5 V1->V5 V2->V5 V3->V1 V3->V4 V3->V5 V4->V5,V1,V5,6,6,2,1,1,bfs_exact,,V0|V2|V3|V4,V3->V1|V4->V3,V3->V1|V3->V4,6,7,5,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.2}",5.158299999999394e-05,0.0003273750000000186,2.187500000000453e-05,3.9874999999994776e-05,0.0007052089999999844,7.266699999999848e-05,0.007568874999999975
inst_000161,erdos_renyi,20261080,V0->V2 V1->V2 V5->V0 V5->V1,V0->V2 V1->V2 V0-V5 V1-V5,flip,0.6,True,V0->V2 V0->V5 V1->V2 V5->V1,V1,V2,6,6,4,2,2,bfs_exact,,V0,V5->V0|V5->V1,V0->V5|V5->V1,6,4,2,2,1,3,2,3,2,0.6666666666666666,True,2,2,2,2,"{""edge_prob"": 0.2}",3.924999999999068e-05,0.0007356249999999898,2.349999999998187e-05,3.675000000000206e-05,0.0004924590000000006,5.254200000001652e-05,0.0042923329999999815
inst_000216,erdos_renyi,20261135,V0->V5 V1->V4 V1->V5 V2->V3 V4->V0,V0->V5 V1->V5 V0-V4 V1-V4 V2-V3,compound,0.4,True,V0->V5 V1->V4 V1->V5 V4->V0 V2-V3,V0,V5,18,30,5,2,2,bfs_exact,,V1,V1->V4|V4->V0,V1->V4,6,5,2,3,2,3,2,3,2,0.6666666666666666,True,2,2,2,3,"{""edge_prob"": 0.2}",4.504199999999514e-05,0.00031608399999999426,2.1374999999990152e-05,4.929200000000633e-05,0.002146207999999983,9.9208999999989e-05,0.018357999999999985
inst_000252,erdos_renyi,20261171,V1->V5 V2->V0 V2->V1 V3->V2 V3->V4 V4->V5,V1->V5 V4->V5 V0-V2 V1-V2 V2-V3 V3-V4,compound,0.6,True,V1->V5 V2->V0 V2->V1 V3->V2 V4->V3 V4->V5,V4,V5,17,26,6,1,1,bfs_exact,,,V2->V0|V2->V1|V3->V4,V4->V3,6,6,2,4,1,5,4,5,4,0.4,True,1,1,1,1,"{""edge_prob"": 0.2}",4.812499999998221e-05,0.001973584000000028,1.8874999999973774e-05,6.629200000002333e-05,0.004203082999999996,8.249999999998536e-05,0.012834667000000022
inst_000323,erdos_renyi,20261242,V1->V2 V1->V3 V4->V3 V4->V5 V5->V1,V1->V3 V4->V3 V1-V2 V1-V5 V4-V5,tiered,0.4,True,V1->V2 V1->V3 V4->V3 V4->V5 V5->V1,V1,V3,10,12,6,2,2,bfs_exact,,V4,V4->V5|V5->V1,V4->V5,6,5,2,3,1,4,3,4,3,0.5,True,2,2,2,3,"{""edge_prob"": 0.2}",5.020900000002326e-05,0.0002733329999999867,3.0124999999991964e-05,4.4332999999951994e-05,0.0015143330000000343,5.6333999999991224e-05,0.008889416999999955
inst_000344,erdos_renyi,20261263,V1->V5 V3->V5 V4->V1 V4->V3 V4->V5,V1->V5 V3->V5 V4->V5 V1-V4 V3-V4,tiered,0.6,True,V1->V5 V3->V5 V4->V1 V4->V3 V4->V5,V3,V5,6,6,2,1,1,bfs_exact,,V1|V4,V4->V1|V4->V3,V4->V1|V4->V3,6,5,3,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.2}",6.050000000001887e-05,0.0005906249999999558,3.4332999999997504e-05,4.062499999996083e-05,0.0005428749999999982,4.2750000000035815e-05,0.004939082999999955
inst_000361,erdos_renyi,20261280,V0->V2 V1->V5 V4->V2 V6->V0 V6->V4,V0->V2 V4->V2 V0-V6 V1-V5 V4-V6,omit,0.2,True,V0->V2 V1->V5 V4->V2 V6->V0 V4-V6,V0,V2,18,30,5,1,1,bfs_exact,,V4,V1->V5|V6->V0,V1->V5|V6->V0,7,5,2,3,2,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.2}",4.8541999999984764e-05,0.0013991660000000072,1.9333999999981977e-05,5.270800000001241e-05,0.0022668750000000015,4.962499999999759e-05,0.009086499999999997
inst_000370,erdos_renyi,20261289,V1->V4 V2->V4 V4->V3 V5->V3 V5->V6 V6->V1 V6->V2,V1->V4 V2->V4 V4->V3 V5->V3 V1-V6 V2-V6 V5-V6,omit,0.2,True,V1->V4 V2->V4 V4->V3 V5->V3 V5->V6 V6->V1 V6->V2,V6,V3,11,15,4,1,1,bfs_exact,,V5,V5->V6|V6->V2,V5->V6|V6->V2,7,7,4,3,1,4,3,4,3,0.5,True,1,1,1,1,"{""edge_prob"": 0.2}",6.737499999998064e-05,0.0002827090000000476,1.2999999999985246e-05,6.537499999997864e-05,0.001810666999999988,7.187499999999902e-05,0.00992004099999999
