network,x,y,condition,committed_status,committed_r_val,committed_label,g0_built,amenable,z_identified,z,z_size,z_valid_at_g0,why_invalid,n_extensions,has_possibly_causal_path_x_to_y,recomputed_class,recompute_note,seconds
Kampen_2014,AIS,ALN,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,2,False,INVALID_RETURNED,,0.0017
Polzer_2012,Alcohol,Caries,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,9,False,INVALID_RETURNED,,0.0065
Shrier_2008,ConnectiveTissueDisorder,FitnessLevel,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,1,False,INVALID_RETURNED,,0.0002
alarm,HISTORY,LVFAILURE,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,8,,INVALID_RETURNED,,0.0021
andes,BUGGY54,HORIZ53,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,1,False,INVALID_RETURNED,,0.0216
child,Age,BirthAsphyxia,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,4,False,INVALID_RETURNED,,0.0026
child,Age,LVH,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,4,False,INVALID_RETURNED,,0.0015
child,BirthAsphyxia,CardiacMixing,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,4,False,INVALID_RETURNED,,0.0019
child,BirthAsphyxia,LungFlow,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,4,False,INVALID_RETURNED,,0.0022
ecoli70,atpG,sucD,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,80,,INVALID_RETURNED,,1.0844
ecoli70,cchB,yjbO,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,80,,INVALID_RETURNED,,1.1187
hailfinder,Date,AMCINInScen,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,5,False,INVALID_RETURNED,,0.0189
hailfinder,Date,WindAloft,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,5,False,INVALID_RETURNED,,0.0243
hailfinder,Dewpoints,SfcWndShfDis,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,5,False,INVALID_RETURNED,,0.0141
hailfinder,LowLLapse,ScenRelAMIns,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,5,,INVALID_RETURNED,,0.0183
hailfinder,MeanRH,RHRatio,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,5,False,INVALID_RETURNED,,0.0197
hepar2,amylase,gallstones,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,12,,INVALID_RETURNED,,0.0277
insurance,DrivingSkill,Airbag,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,22,False,INVALID_RETURNED,,0.2311
magic-niab,G1294,G418,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,24,False,INVALID_RETURNED,,0.0117
mediator,X,I,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,2,False,INVALID_RETURNED,,0.0002
munin1,R_LNLBE_MEDD2_DIFSLOW_WD,R_MED_RD_EW,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,15,,INVALID_RETURNED,,0.1568
munin1,R_LNLBE_MEDD2_RD_EW,R_LNLBE_MEDD2_DIFSLOW_WD,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,15,,INVALID_RETURNED,,0.1713
munin4,L_LNLE_ULND5_RD_E,L_LNLE_ADM_MALOSS,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,576,False,INVALID_RETURNED,,140.2589
munin4,L_LNLE_ULN_DIFSLOW,L_LNLE_ADM_DE_REGEN,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,576,False,INVALID_RETURNED,,134.7095
paths,10,4,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,1,False,INVALID_RETURNED,,0.0011
paths,12,1,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,1,False,INVALID_RETURNED,,0.0011
sachs,Akt,Erk,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,72,False,INVALID_RETURNED,,0.0112
sachs,Akt,P38,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,72,False,INVALID_RETURNED,,0.0137
sachs,Akt,Raf,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,72,False,INVALID_RETURNED,,0.012
sachs,Erk,Mek,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,72,False,INVALID_RETURNED,,0.0128
sachs,Erk,PKC,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,72,False,INVALID_RETURNED,,0.011
water,CKNI_12_00,CKNI_12_45,D_LLM,ok,0,degenerate,True,True,True,,0,False,open_noncausal_path,1,False,INVALID_RETURNED,,0.0012
win95pts,HrglssDrtnAftrPrnt,AppDtGnTm,D_LLM,ok,0,degenerate,True,False,True,,0,False,not_amenable,24,,INVALID_RETURNED,,0.0437
Polzer_2012,Alcohol,Lipids,D_LLM,error,,no_identified_z,True,False,False,,,,,9,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0042
Polzer_2012,Alcohol,Periodontitis,D_LLM,error,,no_identified_z,True,False,False,,,,,9,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0044
Polzer_2012,Alcohol,Sport,D_LLM,error,,no_identified_z,True,False,False,,,,,9,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.004
Sebastiani_2005,ANXA2.8,CSF2.4,D_LLM,error,,no_identified_z,True,False,False,,,,,6,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0037
Sebastiani_2005,ANXA2.8,SELP.12,D_LLM,error,,no_identified_z,True,False,False,,,,,6,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0047
Sebastiani_2005,BMP6,ANXA2.11,D_LLM,error,,no_identified_z,True,False,False,,,,,6,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0028
alarm,HISTORY,BP,D_LLM,error,,no_identified_z,True,False,False,,,,,8,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.003
barley,dgv5980,jordn,D_LLM,error,,no_identified_z,True,False,False,,,,,3,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0047
barley,dgv5980,potnmin,D_LLM,error,,no_identified_z,True,False,False,,,,,3,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0032
ecoli70,asnA,aceB,D_LLM,error,,no_identified_z,True,False,False,,,,,80,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,1.0211
ecoli70,b1191,yfaD,D_LLM,error,,no_identified_z,True,False,False,,,,,80,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,1.01
hepar2,amylase,alcohol,D_LLM,error,,no_identified_z,True,False,False,,,,,12,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0222
hepar2,amylase,spiders,D_LLM,error,,no_identified_z,True,False,False,,,,,12,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0174
insurance,Age,Accident,D_LLM,error,,no_identified_z,True,False,False,,,,,22,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.2203
insurance,Age,MedCost,D_LLM,error,,no_identified_z,True,False,False,,,,,22,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.2013
insurance,AntiTheft,Age,D_LLM,error,,no_identified_z,True,False,False,,,,,22,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.2314
insurance,AntiTheft,OtherCar,D_LLM,error,,no_identified_z,True,False,False,,,,,22,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.2032
magic-irri,G1311,CHALK,D_LLM,error,,no_identified_z,True,False,False,,,,,16,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.02
magic-irri,G1378,SUB,D_LLM,error,,no_identified_z,True,False,False,,,,,16,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0147
magic-niab,G1276,YR.FIELD,D_LLM,error,,no_identified_z,True,False,False,,,,,24,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0167
munin1,R_LNLBE_MEDD2_DIFSLOW_WD,R_APB_ALLAMP_WA,D_LLM,error,,no_identified_z,True,False,False,,,,,15,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.1888
munin1,R_LNLBE_MEDD2_DIFSLOW_WD,R_LNLBE_MEDD2_SALOSS_EW,D_LLM,error,,no_identified_z,True,False,False,,,,,15,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.1767
munin1,R_LNLBE_MEDD2_RD_EW,R_MED_LAT_WA,D_LLM,error,,no_identified_z,True,False,False,,,,,15,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.1568
munin4,L_AXIL_RD_ED,L_AXIL_AMP_E,D_LLM,error,,no_identified_z,True,False,False,,,,,576,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,138.29
win95pts,AppDtGnTm,DeskPrntSpd,D_LLM,error,,no_identified_z,True,False,False,,,,,24,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0371
win95pts,AppDtGnTm,Problem1,D_LLM,error,,no_identified_z,True,False,False,,,,,24,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0469
win95pts,HrglssDrtnAftrPrnt,Problem1,D_LLM,error,,no_identified_z,True,False,False,,,,,24,,NO_SET_EXISTS,extensions_disagree_on_optimal_set,0.0527
