[exh6] 1067825 distinct CPDAGs
[exh6] 20000/1067825  N_set=0 forb_shrink=0 D_am=407816
[exh6] 40000/1067825  N_set=0 forb_shrink=0 D_am=1088576
[exh6] 60000/1067825  N_set=0 forb_shrink=0 D_am=2044314
[exh6] 80000/1067825  N_set=0 forb_shrink=0 D_am=3327444
[exh6] 100000/1067825  N_set=0 forb_shrink=0 D_am=5378432
[exh6] 120000/1067825  N_set=0 forb_shrink=0 D_am=7528146
[exh6] 140000/1067825  N_set=0 forb_shrink=0 D_am=8492980
[exh6] 160000/1067825  N_set=0 forb_shrink=0 D_am=9609008
[exh6] 180000/1067825  N_set=0 forb_shrink=0 D_am=11407000
[exh6] 200000/1067825  N_set=0 forb_shrink=0 D_am=12805982
[exh6] 220000/1067825  N_set=0 forb_shrink=0 D_am=16080600
[exh6] 240000/1067825  N_set=0 forb_shrink=0 D_am=17596130
[exh6] 260000/1067825  N_set=0 forb_shrink=0 D_am=19174816
[exh6] 280000/1067825  N_set=0 forb_shrink=0 D_am=20316104
[exh6] 300000/1067825  N_set=0 forb_shrink=0 D_am=21340290
[exh6] 320000/1067825  N_set=0 forb_shrink=0 D_am=22944416
[exh6] 340000/1067825  N_set=0 forb_shrink=0 D_am=24371330
[exh6] 360000/1067825  N_set=0 forb_shrink=0 D_am=26288972
[exh6] 380000/1067825  N_set=0 forb_shrink=0 D_am=27355148
[exh6] 400000/1067825  N_set=0 forb_shrink=0 D_am=28740900
[exh6] 420000/1067825  N_set=0 forb_shrink=0 D_am=30294590
[exh6] 440000/1067825  N_set=0 forb_shrink=0 D_am=32390268
[exh6] 460000/1067825  N_set=0 forb_shrink=0 D_am=34520182
[exh6] 480000/1067825  N_set=0 forb_shrink=0 D_am=37287162
[exh6] 500000/1067825  N_set=0 forb_shrink=0 D_am=39152632
[exh6] 520000/1067825  N_set=0 forb_shrink=0 D_am=40718568
[exh6] 540000/1067825  N_set=0 forb_shrink=0 D_am=41871954
[exh6] 560000/1067825  N_set=0 forb_shrink=0 D_am=44007260
[exh6] 580000/1067825  N_set=0 forb_shrink=0 D_am=45673292
[exh6] 600000/1067825  N_set=0 forb_shrink=0 D_am=47833876
[exh6] 620000/1067825  N_set=0 forb_shrink=0 D_am=51031406
[exh6] 640000/1067825  N_set=0 forb_shrink=0 D_am=53412734
[exh6] 660000/1067825  N_set=0 forb_shrink=0 D_am=56268932
[exh6] 680000/1067825  N_set=0 forb_shrink=0 D_am=59801026
[exh6] 700000/1067825  N_set=0 forb_shrink=0 D_am=66725518
[exh6] 720000/1067825  N_set=0 forb_shrink=0 D_am=68532312
[exh6] 740000/1067825  N_set=0 forb_shrink=0 D_am=69360352
[exh6] 760000/1067825  N_set=0 forb_shrink=0 D_am=71518448
[exh6] 780000/1067825  N_set=0 forb_shrink=0 D_am=72902428
[exh6] 800000/1067825  N_set=0 forb_shrink=0 D_am=74741422
[exh6] 820000/1067825  N_set=0 forb_shrink=0 D_am=77413238
[exh6] 840000/1067825  N_set=0 forb_shrink=0 D_am=81053258
[exh6] 860000/1067825  N_set=0 forb_shrink=0 D_am=82683548
[exh6] 880000/1067825  N_set=0 forb_shrink=0 D_am=85726422
[exh6] 900000/1067825  N_set=0 forb_shrink=0 D_am=89030204
[exh6] 920000/1067825  N_set=0 forb_shrink=0 D_am=97247540
[exh6] 940000/1067825  N_set=0 forb_shrink=0 D_am=98222700
[exh6] 960000/1067825  N_set=0 forb_shrink=0 D_am=101373870
[exh6] 980000/1067825  N_set=0 forb_shrink=0 D_am=105123036
[exh6] 1000000/1067825  N_set=0 forb_shrink=0 D_am=109617258
[exh6] 1020000/1067825  N_set=0 forb_shrink=0 D_am=115361690
[exh6] 1040000/1067825  N_set=0 forb_shrink=0 D_am=121832104
[exh6] 1060000/1067825  N_set=0 forb_shrink=0 D_am=132397118
{"p": 6, "n_cpdags": 1067825, "stats": {"n_mpdag": 18552258, "D_all": 149123280, "N_cycle": 0, "N_vstruct": 0, "D_con": 149123280, "D_am": 149123280, "N_ident": 0, "cn_shrink": 20950200, "forb_shrink": 0, "pa_grow": 19770960, "total_loss": 0, "partial_loss": 3791520, "N_set": 0}, "n_viol": 0}
